city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Isparta,37.7647,30.5567,Turkey,TR,Isparta,admin,258375,258375
Siverek,37.7500,39.3167,Turkey,TR,Şanlıurfa,minor,258265,258265
Antalya,36.8874,30.7075,Turkey,TR,Antalya,admin,258139,258139
Tuzla,40.8161,29.3006,Turkey,TR,İstanbul,,255468,255468
Aksaray,38.3742,34.0289,Turkey,TR,Aksaray,admin,253113,253113
Kızıltepe,37.1939,40.5861,Turkey,TR,Mardin,minor,252656,252656
Çekme,41.0369,29.1786,Turkey,TR,İstanbul,,251937,251937
İskenderun,36.5817,36.1650,Turkey,TR,Hatay,minor,251682,251682
Büyükçekmece,41.0200,28.5775,Turkey,TR,İstanbul,minor,247736,247736
Beykoz,41.1342,29.0922,Turkey,TR,İstanbul,minor,246700,246700
Düzce,40.8417,31.1583,Turkey,TR,Düzce,admin,240633,240633
Tarsus,36.9165,34.8951,Turkey,TR,Mersin,minor,238276,238276
Ordu,40.9833,37.8833,Turkey,TR,Ordu,admin,229214,229214
Uşak,38.6778,29.4042,Turkey,TR,Uşak,admin,228328,228328
Mezitli,36.7500,34.5333,Turkey,TR,Mersin,minor,222436,222436
Sarıçam,37.0333,35.4167,Turkey,TR,Adana,minor,221733,221733
Yenişehir,37.9333,40.2333,Turkey,TR,Diyarbakır,minor,219759,219759
Çiğli,38.4833,27.0500,Turkey,TR,İzmir,,214065,214065
Tekirdağ,40.9778,27.5153,Turkey,TR,Tekirdağ,admin,204001,204001
Menemen,38.6000,27.0667,Turkey,TR,İzmir,minor,200904,200904
Viranşehir,37.2306,39.7653,Turkey,TR,Şanlıurfa,minor,195910,195910
Karaköprü,37.1847,38.7908,Turkey,TR,Şanlıurfa,minor,195552,195552
Muş,38.7333,41.4911,Turkey,TR,Muş,admin,193394,193394
Kırıkkale,39.8417,33.5139,Turkey,TR,Kırıkkale,admin,186960,186960
Bolu,40.7347,31.6075,Turkey,TR,Bolu,admin,184682,184682
Edirne,41.6769,26.5556,Turkey,TR,Edirne,admin,180327,180327
Torbalı,38.1619,27.3583,Turkey,TR,İzmir,minor,178772,178772
Bodrum,37.0378,27.4242,Turkey,TR,Muğla,minor,175000,175000
Akhisar,38.9239,27.8400,Turkey,TR,Manisa,minor,173026,166129
Erciş,39.0311,43.3597,Turkey,TR,Van,minor,171000,171000
Talas,38.6833,35.5667,Turkey,TR,Kayseri,minor,169214,169214
Karaman,37.1819,33.2181,Turkey,TR,Karaman,admin,168299,168299
Fethiye,36.6514,29.1231,Turkey,TR,Muğla,minor,167114,167114
Çerkezköy,41.2889,28.0042,Turkey,TR,Tekirdağ,minor,166789,166789
Siirt,37.9250,41.9458,Turkey,TR,Siirt,admin,166332,166332
Körfez,40.7833,29.7333,Turkey,TR,Kocaeli,minor,165503,165503
Manavgat,36.7833,31.4333,Turkey,TR,Antalya,minor,165114,165114
Tokat,40.3139,36.5542,Turkey,TR,Tokat,admin,163405,163405
Turgutlu,38.5000,27.7000,Turkey,TR,Manisa,minor,163223,163223
Nazilli,37.9125,28.3206,Turkey,TR,Aydın,minor,162737,162737
Gölcük,40.7172,29.8228,Turkey,TR,Kocaeli,minor,162584,162584
Salihli,38.4811,28.1392,Turkey,TR,Manisa,minor,161562,161562
Bingöl,38.8861,40.5017,Turkey,TR,Bingöl,admin,160165,160165
Ceyhan,37.0289,35.8125,Turkey,TR,Adana,minor,159955,159955
Erzincan,39.7464,39.4914,Turkey,TR,Erzincan,admin,157452,157452
Edremit,39.5922,27.0200,Turkey,TR,Balıkesir,minor,154487,154487
Bandırma,40.3500,27.9667,Turkey,TR,Balıkesir,minor,154359,154359
Kırşehir,39.1456,34.1608,Turkey,TR,Kırşehir,admin,153511,153511
Nevşehir,38.6264,34.7139,Turkey,TR,Nevşehir,admin,153117,153117
Erdemli,36.6056,34.3111,Turkey,TR,Mersin,minor,151928,151928
Mahmutlu,39.7464,39.4914,Turkey,TR,Erzincan,,150714,150714
Büyük Çakırman,39.7464,39.4914,Turkey,TR,Erzincan,,150714,150714
Buğdaylı,39.7464,39.4914,Turkey,TR,Erzincan,,150714,150714
Gölbaşı,39.7953,32.8028,Turkey,TR,Ankara,minor,150047,150047
Ağrı,39.7186,43.0508,Turkey,TR,Ağrı,admin,149188,149188
Kastamonu,41.3764,33.7764,Turkey,TR,Kastamonu,admin,148931,148931
Lüleburgaz,41.4056,27.3569,Turkey,TR,Kırklareli,minor,148037,148037
Milas,37.3167,27.7833,Turkey,TR,Muğla,minor,147416,147416
Derince,40.7539,29.8231,Turkey,TR,Kocaeli,minor,146374,146374
Ereğli,37.5128,34.0483,Turkey,TR,Konya,minor,145389,145389
Cizre,37.3320,42.1870,Turkey,TR,Şırnak,minor,143124,143124
Nizip,37.0100,37.7972,Turkey,TR,Gaziantep,minor,142389,142389
Bafra,41.5722,35.9147,Turkey,TR,Samsun,minor,142190,142190
Elbistan,38.2014,37.1883,Turkey,TR,Kahramanmaraş,minor,141307,141307
Rize,41.0247,40.5222,Turkey,TR,Rize,admin,141143,141143
Çarşamba,41.1992,36.7275,Turkey,TR,Samsun,minor,138840,138840
Silivri,41.0736,28.2478,Turkey,TR,İstanbul,minor,137861,137861
Gaziemir,38.3214,27.1275,Turkey,TR,İzmir,minor,137754,137754
Iğdır,39.9208,44.0444,Turkey,TR,Iğdır,admin,137613,137613
Yalova,40.6556,29.2750,Turkey,TR,Yalova,admin,135355,124
Silopi,37.2486,42.4703,Turkey,TR,Şırnak,minor,134754,134754
Ödemiş,38.2311,27.9719,Turkey,TR,İzmir,minor,132511,132511
Karabük,41.1986,32.6264,Turkey,TR,Karabük,admin,131989,131989
Kuşadası,37.8597,27.2597,Turkey,TR,İzmir,minor,130835,130835
Kozan,37.4500,35.8000,Turkey,TR,Adana,minor,130495,130495
Ergani,38.2692,39.7617,Turkey,TR,Diyarbakır,minor,130105,130105
Çayırova,40.8000,29.4167,Turkey,TR,Kocaeli,minor,129655,129655
Dörtyol,36.8428,36.2244,Turkey,TR,Hatay,minor,128941,128941
Edremit,38.4242,43.2561,Turkey,TR,Van,minor,127819,127819
Ünye,41.1272,37.2881,Turkey,TR,Ordu,minor,126702,126702
Karatepe,40.7333,29.9667,Turkey,TR,Kocaeli,,125974,118066
Giresun,40.9153,38.3894,Turkey,TR,Giresun,admin,125682,125682
Polatlı,39.5842,32.1472,Turkey,TR,Ankara,minor,125075,125075
Serik,36.9167,31.1000,Turkey,TR,Antalya,minor,124335,124335
Kadirli,37.3697,36.1000,Turkey,TR,Osmaniye,minor,124053,124053
Akçaabat,41.0167,39.5500,Turkey,TR,Trabzon,minor,123552,123552
Patnos,39.2358,42.8686,Turkey,TR,Ağrı,minor,122833,122833
Kâhta,37.7803,38.6217,Turkey,TR,Adıyaman,minor,122774,122774
Ereğli,41.2792,31.4208,Turkey,TR,Zonguldak,minor,122282,122282
Doğubayazıt,39.5472,44.0833,Turkey,TR,Ağrı,minor,121263,121263
Samandağ,36.0850,35.9806,Turkey,TR,Hatay,minor,121109,121109
Kırıkhan,36.4975,36.3608,Turkey,TR,Hatay,minor,121028,121028
Gemlik,40.4317,29.1561,Turkey,TR,Bursa,minor,120245,120245
Söke,37.7508,27.4103,Turkey,TR,Aydın,minor,120217,120217
Yüksekova,37.5690,44.2830,Turkey,TR,Hakkâri,minor,119760,119760
Silifke,36.3761,33.9322,Turkey,TR,Mersin,minor,119303,119303
Bismil,37.8467,40.6661,Turkey,TR,Diyarbakır,minor,118698,118698
Niğde,37.9667,34.6792,Turkey,TR,Niğde,admin,118186,118186
Kapaklı,41.3333,27.9667,Turkey,TR,Tekirdağ,minor,116882,116882
Fatsa,41.0306,37.5000,Turkey,TR,Ordu,minor,116154,116154
Nusaybin,37.0750,41.2153,Turkey,TR,Mardin,minor,115586,115586
Amasya,40.6500,35.8331,Turkey,TR,Amasya,admin,114921,114921
Midyat,37.4167,41.3697,Turkey,TR,Mardin,minor,113367,113367
Akçakale,36.7108,38.9478,Turkey,TR,Şanlıurfa,minor,113194,113194
Soma,39.1883,27.6089,Turkey,TR,Manisa,minor,108981,108981
Mudanya,40.3764,28.8833,Turkey,TR,Bursa,minor,108011,108011
Kemalpaşa,38.4278,27.4161,Turkey,TR,İzmir,minor,106298,106298
Yozgat,39.8208,34.8083,Turkey,TR,Yozgat,admin,105167,105167
Alaşehir,38.3500,28.5167,Turkey,TR,Manisa,minor,105145,105145
Suruç,36.9764,38.4269,Turkey,TR,Şanlıurfa,minor,104302,104302
Bergama,39.1167,27.1833,Turkey,TR,İzmir,minor,103185,103185
Gürsu,40.2144,29.1931,Turkey,TR,Bursa,minor,102601,102601
Mustafakemalpaşa,40.0353,28.4117,Turkey,TR,Bursa,minor,102284,102284
Tavşanlı,39.5333,29.4833,Turkey,TR,Kütahya,minor,101903,101903
Zonguldak,41.4564,31.7986,Turkey,TR,Zonguldak,admin,101749,101749
Sur,37.9106,40.2358,Turkey,TR,Diyarbakır,minor,100613,100613
Burdur,37.7194,30.2833,Turkey,TR,Burdur,admin,95436,95436
Çanakkale,40.1519,26.4056,Turkey,TR,Çanakkale,admin,90653,90653
Mardin,37.3131,40.7350,Turkey,TR,Mardin,admin,86948,86948
Bilecik,40.1431,29.9792,Turkey,TR,Bilecik,admin,81723,81723
Balçova,38.3856,27.0581,Turkey,TR,İzmir,,80721,80721
Kırklareli,41.7347,27.2253,Turkey,TR,Kırklareli,admin,79884,79884
Bartın,41.6344,32.3375,Turkey,TR,Bartın,admin,71485,71485
Kars,40.6078,43.0958,Turkey,TR,Kars,admin,69293,69293
Narlıdere,38.3911,27.0028,Turkey,TR,İzmir,,62923,62923
Kilis,36.7167,37.1167,Turkey,TR,Kilis,admin,62472,62472
Hakkari,37.5770,43.7390,Turkey,TR,Hakkâri,admin,59484,30407
Sinop,42.0267,35.1511,Turkey,TR,Sinop,admin,57404,57404
Gümüşhane,40.4597,39.4778,Turkey,TR,Gümüşhane,admin,57269,57269
Muğla,37.2167,28.3667,Turkey,TR,Muğla,admin,56619,56619
Şırnak,37.5200,42.4590,Turkey,TR,Şırnak,admin,54955,54955
Bitlis,38.4000,42.1083,Turkey,TR,Bitlis,admin,52024,52024
Bayburt,40.2597,40.2278,Turkey,TR,Bayburt,admin,40565,40565
Çorum,40.5455,34.9570,Turkey,TR,Çorum,admin,34726,34726
Çukurçayır,40.9867,39.7297,Turkey,TR,Trabzon,,33438,33438
Tunceli,39.1064,39.5472,Turkey,TR,Tunceli,admin,32815,32815
Çankırı,40.5986,33.6192,Turkey,TR,Çankırı,admin,26124,26124
Artvin,41.1833,41.8181,Turkey,TR,Artvin,admin,25841,25841
Pelitli,40.9833,39.8000,Turkey,TR,Trabzon,,23314,23314
Ardahan,41.1111,42.7022,Turkey,TR,Ardahan,admin,23295,23295
Yakacık,40.9164,29.2222,Turkey,TR,İstanbul,,17825,17825
Kadıköy,40.6167,29.2333,Turkey,TR,Yalova,,9543,9543
Adalar,40.8578,29.1200,Turkey,TR,İstanbul,minor,8586,8586
Kızılcaşar,39.8167,32.7333,Turkey,TR,Ankara,,8581,8581
Yenice,36.9667,35.0500,Turkey,TR,Mersin,minor,8433,8433
Değirmendere,40.7214,29.7831,Turkey,TR,Kocaeli,minor,6226,6226
Balpınar,37.8680,41.0550,Turkey,TR,Batman,,5685,5685
İncek,39.8000,32.7000,Turkey,TR,Ankara,,5578,5578
Kayabaşı,41.1167,28.7333,Turkey,TR,İstanbul,,5236,5236
Heybeli,40.8778,29.0917,Turkey,TR,İstanbul,,4424,4424
Rumelifeneri,41.2333,29.1167,Turkey,TR,İstanbul,,4337,4337
Bahçeköy,41.1700,28.9925,Turkey,TR,İstanbul,,3737,3737
Eskihisar,37.8219,29.1064,Turkey,TR,Denizli,,3705,3705
Çağlayan,40.9000,39.7167,Turkey,TR,Trabzon,minor,2716,2716
Akbaba,41.1513,29.1150,Turkey,TR,İstanbul,,2662,2662
Tayakadın,41.2703,28.6901,Turkey,TR,İstanbul,,2533,2533
Binatlı,37.8470,41.2160,Turkey,TR,Batman,,2377,2377
Kınalı,40.9131,29.0500,Turkey,TR,İstanbul,,2025,2025
Büyükyoncalı,41.3781,27.9269,Turkey,TR,Tekirdağ,,1988,1988
Düzyurt,40.9667,39.7333,Turkey,TR,Trabzon,,1782,1782
Burgaz,40.8799,29.0618,Turkey,TR,İstanbul,,1655,1655
Yeniköy,41.3212,28.7204,Turkey,TR,İstanbul,,1376,1376
Zeytinli,36.9933,35.1340,Turkey,TR,Adana,,1336,1336
Kızılca,39.9167,32.8500,Turkey,TR,Ankara,,1311,1311
Saracalarçiftliği,40.0667,32.9833,Turkey,TR,Ankara,,1148,1148
Çavak,36.8333,34.5500,Turkey,TR,Mersin,,1121,1121
Çevrimova,37.8390,41.2710,Turkey,TR,Batman,,1056,1056
Mahmutbey,41.0536,28.8256,Turkey,TR,İstanbul,minor,,
Samandıra,40.9990,29.2257,Turkey,TR,İstanbul,minor,,
Pursaklar,40.0320,32.8953,Turkey,TR,Ankara,minor,,
Kemerburgaz,41.1617,28.9206,Turkey,TR,İstanbul,minor,,
Burç,37.0136,37.1791,Turkey,TR,Gaziantep,minor,,
Kazanlı,36.8156,34.7576,Turkey,TR,Mersin,minor,,
Hadımköy,41.1559,28.6177,Turkey,TR,İstanbul,minor,,
Mahmut Şevket Paşa,41.1528,29.1897,Turkey,TR,İstanbul,minor,,
Yolboyu,37.8976,40.0009,Turkey,TR,Diyarbakır,minor,,
